Launch statistics chart
Overall statistics
Launches duration chart
Launch execution and issue statistic
Project activity panel
Test-cases growth trend chart
Investigated percentage of launches
Launches table
Unique bugs table
Most failed test-cases table (TOP-50)
Failed cases trend chart
Non-passed test-cases trend chart
Different launches comparison chart
Passing rate per launch
Passing rate summary
Flaky test cases table (TOP-50)
Cumulative trend chart
Most popular pattern table (TOP-20)
Component health check
Component health check (table view)
Most time-consuming test cases widget (TOP-20)
